Although my heart is falling too,Ed Sheeran
And how your family is doing okay,Ed Sheeran
And last night you were in my room,Ed Sheeran
And now my bed sheets smell like you,Ed Sheeran
"And then we start to dance, and now I'm singing like",Ed Sheeran
And trust me I'll give it a chance now,Ed Sheeran
And you come over and start up a conversation with just me,Ed Sheeran
"Come on now, follow my lead",Ed Sheeran
"Come on, be my baby, come on",Ed Sheeran
"Come, come on now, follow my lead",Ed Sheeran
Drinking fast and then we talk slow,Ed Sheeran
Every day discovering something brand new,Ed Sheeran
Fill up your bag and I fill up a plate,Ed Sheeran
"Girl, you know I want your love",Ed Sheeran
Grab on my waist and put that body on me,Ed Sheeran
"I may be crazy, don't mind me",Ed Sheeran
I'm in love with the shape of you,Ed Sheeran
I'm in love with your body,Ed Sheeran
Last night you were in my room,Ed Sheeran
"Leave and get in a taxi, then kiss in the backseat",Ed Sheeran
Me and my friends at the table doing shots,Ed Sheeran
One week in we let the story begin,Ed Sheeran
"Say, boy, let's not talk too much",Ed Sheeran
So the bar is where I go,Ed Sheeran
"Take my hand, stop, put Van the Man on the jukebox",Ed Sheeran
"Tell the driver make the radio play, and I'm singing like",Ed Sheeran
The club isn't the best place to find a lover,Ed Sheeran
We push and pull like a magnet do,Ed Sheeran
We talk for hours and hours about the sweet and the sour,Ed Sheeran
We're going out on our first date,Ed Sheeran
"You and me are thrifty, so go all you can eat",Ed Sheeran
Your love was handmade for somebody like me,Ed Sheeran
And I can't sweep you off of your feet,Ed Sheeran
And I'm thinking 'bout how,Ed Sheeran
"And baby, my heart could still fall as hard at twenty-three",Ed Sheeran
"And baby, your smile's forever in my mind and memory",Ed Sheeran
And darling I will be loving you till we're seventy,Ed Sheeran
And maybe it's all part of a plan,Ed Sheeran
And maybe we found love right where we are,Ed Sheeran
And the crowds don't remember my name,Ed Sheeran
And we found love right where we are,Ed Sheeran
"Cause honey your soul could never grow old, it's evergreen",Ed Sheeran
Hoping that you'll understand,Ed Sheeran
I just wanna tell you I am,Ed Sheeran
I know you will still love me the same,Ed Sheeran
Kiss me under the light of a thousand stars,Ed Sheeran
Maybe just the touch of a hand,Ed Sheeran
"Oh baby, we found love right where we are",Ed Sheeran
"Oh darling, place your head on my beating heart, I'm thinking out loud",Ed Sheeran
People fall in love in mysterious ways,Ed Sheeran
"Place your head on my beating heart, I'm thinking out loud",Ed Sheeran
"So baby, now, take me into your loving arms",Ed Sheeran
"So honey, now, take me into your loving arms",Ed Sheeran
That maybe we found love right where we are,Ed Sheeran
"That, baby, now, take me into your loving arms",Ed Sheeran
Well I'll just keep on making the same mistakes,Ed Sheeran
"Well me, I fall in love with you every single day",Ed Sheeran
When my hair's all but gone and my memory fades,Ed Sheeran
When my hands don't play the strings the same way,Ed Sheeran
When your legs don't work like they used to before,Ed Sheeran
Will your eyes still smile from your cheeks?,Ed Sheeran
Will your mouth still remember the taste of my love?,Ed Sheeran
And I won’t ever let you go,Ed Sheeran
"And if you hurt me, that's okay baby",Ed Sheeran
"And it's the only thing that I know, know",Ed Sheeran
And it's the only thing to take with us when we die,Ed Sheeran
"And time's forever frozen, still",Ed Sheeran
But it's the only thing that I know,Ed Sheeran
Hearing you whisper through the phone,Ed Sheeran
Holding me close until our eyes meet,Ed Sheeran
"I swear it will get easier, remember that with every piece of ya",Ed Sheeran
Inside the necklace you got when you were sixteen,Ed Sheeran
Inside the pocket of your ripped jeans,Ed Sheeran
It is the only thing that makes us feel alive,Ed Sheeran
Keep it deep within your soul,Ed Sheeran
"Loving can heal, loving can mend your soul",Ed Sheeran
"Loving can hurt, loving can hurt sometimes",Ed Sheeran
Next to your heartbeat where I should be,Ed Sheeran
Oh you can fit me,Ed Sheeran
Only words bleed inside these pages,Ed Sheeran
Our hearts were never broken,Ed Sheeran
So you can keep me,Ed Sheeran
Under the lamppost back on Sixth street,Ed Sheeran
Wait for me to come home,Ed Sheeran
We keep this love in a photograph,Ed Sheeran
We made these memories for ourselves,Ed Sheeran
"When I'm away, I will remember how you kissed me",Ed Sheeran
"When it gets hard, you know it can get hard sometimes",Ed Sheeran
Where our eyes are never closing,Ed Sheeran
You just hold me,Ed Sheeran
You won't ever be alone,Ed Sheeran
"You won't ever be alone, wait for me to come home",Ed Sheeran
(Knock knock knock) on my hotel door,Ed Sheeran
All over my home,Ed Sheeran
And I never saw him as a threat (you bastard),Ed Sheeran
And I wasn't looking for a promise or commitment,Ed Sheeran
"And all this time, God knows I'm singing",Ed Sheeran
And for a couple weeks I only wanna see her,Ed Sheeran
"And never wants to sleep, I guess that I don't want to either",Ed Sheeran
And those shows have never been what it's about,Ed Sheeran
"Baby, bring the lemon and a bottle of gin",Ed Sheeran
"Baby, if you wanted me then should have just said, she's singing",Ed Sheeran
Before a text message was the only way to reach her,Ed Sheeran
But I gave her my time for two or three nights,Ed Sheeran
"But it was never just fun, and I thought you were different",Ed Sheeran
But maybe we'll go together and just figure it out,Ed Sheeran
"But me and her, we make money the same way",Ed Sheeran
"But then I jumped right in a week later, returned",Ed Sheeran
But we should get on a plane or we'll be missing it now,Ed Sheeran
"But you didn't need to take him to bed, that's all",Ed Sheeran
Don't fuck with my love,Ed Sheeran
"Four cities, two planes, the same day",Ed Sheeran
I called an old friend thinking that the trouble would wait,Ed Sheeran
I don't even know if she knows what for,Ed Sheeran
I don't wanna know that babe,Ed Sheeran
I met this girl late last year,Ed Sheeran
I never intended to be next (you bastard),Ed Sheeran
I reckon she was only looking for a lover to burn,Ed Sheeran
I told her I'm not really looking for another mistake,Ed Sheeran
I told her she knows,Ed Sheeran
I went away for months until our paths crossed again,Ed Sheeran
I'd rather put on a film with you and sit on a couch,Ed Sheeran
"It's a bit too much, too late if I'm honest",Ed Sheeran
It's not like we were both on tour,Ed Sheeran
Maybe you could swing by my room around ten,Ed Sheeran
"Now she should figure it out, while I'm sat here singing",Ed Sheeran
